Frame,Time (ms),X,Y
0,0.0,510.0,604.5
0,0.0,558.0,582.5
0,0.0,473.0,455.0
0,0.0,517.5833129882812,402.3888854980469
0,0.0,651.0,377.5
0,0.0,581.1251831054688,310.5641784667969
0,0.0,561.826416015625,87.45833587646484
0,0.0,664.0,28.0
0,0.0,613.5,30.0
0,0.0,563.5,37.0
1,4.166666666666667,509.5,625.5
1,4.166666666666667,554.0,603.5
1,4.166666666666667,479.9673767089844,468.0
1,4.166666666666667,512.5,417.5
1,4.166666666666667,650.5,377.0
1,4.166666666666667,587.4833984375,327.2123107910156
1,4.166666666666667,608.0,40.0
1,4.166666666666667,667.5,38.0
1,4.166666666666667,575.5,55.5
2,8.333333333333334,507.5,657.5
2,8.333333333333334,555.5,630.0
2,8.333333333333334,472.9917297363281,479.7024841308594
2,8.333333333333334,511.0294189453125,440.36553955078125
2,8.333333333333334,650.5,378.0
2,8.333333333333334,519.2952270507812,361.11212158203125
2,8.333333333333334,671.0,327.5
2,8.333333333333334,623.6036376953125,356.52423095703125
2,8.333333333333334,572.0,158.5
2,8.333333333333334,566.2026977539062,105.4189224243164
2,8.333333333333334,607.8333129882812,52.5
2,8.333333333333334,676.2294921875,49.895694732666016
2,8.333333333333334,654.2938232421875,4.525773048400879
2,8.333333333333334,561.0,45.5
3,12.5,506.0,678.0
3,12.5,551.0,652.5
3,12.5,509.89874267578125,453.9035949707031
3,12.5,639.8253784179688,430.26983642578125
3,12.5,651.0,378.5
3,12.5,517.4705810546875,378.5294189453125
3,12.5,459.0,245.5
3,12.5,572.5,357.0
3,12.5,568.5,117.0
3,12.5,606.0,64.5
3,12.5,678.66162109375,59.69581604003906
3,12.5,656.196044921875,9.31519889831543
3,12.5,563.5,51.0
4,16.666666666666668,508.5,690.2999877929688
4,16.666666666666668,548.0,664.0
4,16.666666666666668,508.0714416503906,472.967529296875
4,16.666666666666668,513.6923217773438,396.453857421875
4,16.666666666666668,464.0,268.5
4,16.666666666666668,598.7972412109375,381.9577941894531
4,16.666666666666668,639.5,147.5
4,16.666666666666668,623.5,144.0
4,16.666666666666668,570.0,173.0
4,16.666666666666668,607.9696044921875,79.13687896728516
4,16.666666666666668,668.5,71.0
4,16.666666666666668,626.9000244140625,38.29999923706055
4,16.666666666666668,658.5,16.5
4,16.666666666666668,566.5,56.0
5,20.833333333333336,554.7222290039062,677.0370483398438
5,20.833333333333336,507.21978759765625,492.7189025878906
5,20.833333333333336,510.3113098144531,414.3155517578125
5,20.833333333333336,460.5,289.5
5,20.833333333333336,590.0,391.0
5,20.833333333333336,628.97900390625,151.1997833251953
5,20.833333333333336,571.5,186.0
5,20.833333333333336,612.5,93.5
5,20.833333333333336,666.6818237304688,83.29545593261719
5,20.833333333333336,627.6015014648438,48.743656158447266
5,20.833333333333336,661.0,22.5
5,20.833333333333336,570.0,60.0
6,25.000000000000004,559.5,691.6818237304688
6,25.000000000000004,561.5,621.0
6,25.000000000000004,504.6119384765625,513.7667846679688
6,25.000000000000004,507.685791015625,432.4093933105469
6,25.000000000000004,656.5,289.5
6,25.000000000000004,460.5,298.0
6,25.000000000000004,626.0,154.5
6,25.000000000000004,579.5,366.0
6,25.000000000000004,612.5,107.0
6,25.000000000000004,656.021728515625,99.01017761230469
6,25.000000000000004,627.8170776367188,59.621952056884766
6,25.000000000000004,664.0,28.5
6,25.000000000000004,570.5,65.0
7,29.16666666666667,559.5,642.5
7,29.16666666666667,504.6240234375,532.220947265625
7,29.16666666666667,506.947265625,451.8755187988281
7,29.16666666666667,570.72412109375,341.5517272949219
7,29.16666666666667,671.0,330.5
7,29.16666666666667,461.5,303.0
7,29.16666666666667,615.5,170.0
7,29.16666666666667,587.5,383.5
7,29.16666666666667,611.0,119.5
7,29.16666666666667,628.5,71.5
7,29.16666666666667,656.5,87.0
7,29.16666666666667,669.6749877929688,10.250911712646484
7,29.16666666666667,586.5,69.5
8,33.333333333333336,556.5,665.0
8,33.333333333333336,502.5101318359375,551.483642578125
8,33.333333333333336,505.08880615234375,470.19586181640625
8,33.333333333333336,569.9545288085938,362.7727355957031
8,33.333333333333336,462.7727355957031,325.07574462890625
