Time (ms),RMS Speed (m/s)
41.666666666666664,0.99954164
58.33333333333332,0.5455343
87.50000000000001,0.65800697
100.00000000000003,0.88650745
104.1666666666667,0.91753477
158.33333333333331,0.7688287
174.99999999999994,0.44832316
187.49999999999991,0.88575673
199.9999999999999,0.6430509
212.49999999999986,0.7732088
224.99999999999983,0.86283463
299.99999999999994,0.86833316
350.00000000000017,0.65175676
366.6666666666669,0.833197
375.0000000000003,0.59561664
391.666666666667,0.23933907
400.0000000000004,0.63469046
404.1666666666671,0.800262
412.50000000000045,0.7494969
425.0000000000005,0.21138056
437.50000000000057,0.7834654
462.5000000000007,0.29265523
491.6666666666675,0.95437825
525.0000000000008,0.4082952
533.333333333334,0.6356231
550.0000000000006,0.15997331
558.3333333333338,0.805908
566.6666666666671,0.7189596
575.0000000000003,0.6664418
579.166666666667,0.15825614
604.1666666666667,0.16463882
620.8333333333333,0.8908335
645.833333333333,0.7589417
658.3333333333329,0.4071339
666.6666666666662,0.44669205
674.9999999999994,0.5410653
695.8333333333326,0.68120277
720.8333333333323,0.33458856
724.999999999999,0.15482302
729.1666666666656,0.5554631
733.3333333333322,0.8696991
741.6666666666655,0.15718973
745.8333333333321,0.24867277
758.333333333332,0.42020288
766.6666666666653,0.91069627
770.8333333333319,0.6957583
774.9999999999985,0.7410194
791.666666666665,0.19455807
804.1666666666649,0.6673419
808.3333333333316,0.15184008
816.6666666666648,0.71662265
849.9999999999978,0.6064939
862.4999999999977,0.5185385
874.9999999999976,0.88793325
899.9999999999974,0.39823633
912.4999999999973,0.7769676
920.8333333333305,0.5574422
924.9999999999972,0.77222174
962.4999999999968,0.9177658
966.6666666666634,0.7600616
1058.3333333333303,0.30122107
1074.9999999999973,0.15300295
1079.166666666664,0.52863955
1087.4999999999975,0.86500233
1137.4999999999984,0.6233889
1145.833333333332,0.91293406
1166.6666666666656,0.48001423
1170.8333333333323,0.74463314
1191.666666666666,0.8757002
1199.9999999999995,0.15246327
1208.333333333333,1.1024679
1216.6666666666665,0.90406907
1225.0,0.73776656
1275.000000000001,0.6601068
1300.0000000000014,1.1133959
1304.166666666668,1.2083286
1341.6666666666688,0.8370417
1362.5000000000025,0.5658774
1366.6666666666692,0.5553706
1370.833333333336,0.6957482
1379.1666666666695,0.51137614
1391.6666666666697,1.1384047
1420.833333333337,0.7698324
1441.6666666666706,0.29530075
1445.8333333333374,0.9530045
1450.000000000004,0.46405223
1458.3333333333376,0.86033875
1487.5000000000048,0.15150003
1512.5000000000052,0.7493373
1516.666666666672,0.3530952
1541.6666666666724,0.5339796
1554.1666666666727,0.4179641
1566.6666666666729,0.66200846
1570.8333333333396,0.8775227
1575.0000000000064,0.90076536
1604.1666666666736,0.92017025
1633.3333333333408,0.81682277
1637.5000000000075,0.6846793
1670.8333333333414,0.70621794
1691.6666666666752,0.9105388
1704.1666666666754,0.16053675
1716.6666666666756,0.42999235
1725.000000000009,0.46199948
1750.0000000000095,0.68792814
1770.8333333333433,0.87996906
1816.6666666666774,0.47948292
1845.8333333333446,0.25001547
1850.0000000000114,0.7350599
1866.6666666666783,0.15999758
1875.0000000000118,0.9280627
1916.6666666666792,0.540182
1925.0000000000127,0.7125697
1933.3333333333462,0.8552608
1937.500000000013,0.51862246
1966.6666666666802,0.46257097
1983.3333333333471,0.88968056
2000.000000000014,0.20764126
2025.0000000000146,0.7277037
2033.333333333348,0.15998307
2050.000000000015,0.7208833
2075.000000000014,0.46076563
2104.1666666666797,0.7927015
2145.833333333345,0.9944312
2179.166666666677,0.71739876
2195.833333333343,0.25953555
2225.0000000000086,0.6103389
2233.3333333333417,0.9165516
2312.5000000000055,0.6840023
2320.8333333333385,0.43581328
2341.666666666671,0.6564102
2354.1666666666706,0.6815319
2387.5000000000027,0.28475142
2416.6666666666683,0.71356195
2420.833333333335,1.1208582
2437.500000000001,0.91050005
2458.3333333333335,0.7685715
2499.9999999999986,1.0592197
2508.3333333333317,0.38965473
2516.6666666666647,0.21609761
2537.4999999999973,0.39943787
2549.999999999997,0.924626
2562.4999999999964,0.56505364
2570.8333333333294,0.78549236
2624.999999999994,0.6660576
2695.833333333325,0.76295245
2712.499999999991,0.86253667
2733.3333333333235,0.782739
2737.49999999999,0.6126947
2745.833333333323,0.3880447
2783.3333333333217,0.39844868
2795.833333333321,0.7466783
2808.3333333333208,0.8462331
2820.8333333333203,0.7601738
2837.4999999999864,0.45802334
2849.999999999986,0.8608086
2854.1666666666524,0.8268655
2858.333333333319,0.81192756
2866.666666666652,0.6179141
2870.8333333333185,0.47956905
2899.999999999984,0.78789216
2904.1666666666506,0.15141988
2945.8333333333157,0.6674858
2954.166666666649,0.22517307
2974.9999999999814,0.22619356
2979.166666666648,0.49160478
2987.499999999981,0.35508364
3004.166666666647,0.14998217
3016.6666666666465,0.23317999
3041.6666666666456,0.96881336
3054.166666666645,0.15051898
3083.3333333333107,0.8509343
3095.8333333333103,0.1562127
3104.1666666666433,1.1588168
3108.33333333331,0.37862283
3124.999999999976,0.5894849
3141.666666666642,0.186268
3158.333333333308,0.5298912
3166.666666666641,0.9102276
3170.8333333333076,0.54168284
3237.499999999972,1.2729614
3283.3333333333035,0.16759741
3320.833333333302,0.8854388
3341.6666666666347,0.8477294
3383.3333333333,0.7628922
3441.666666666631,0.79558074
3445.8333333332976,0.9290977
3487.4999999999627,0.67798674
3533.3333333332944,0.6024701
3541.6666666666274,0.584939
3549.9999999999604,0.16250108
3566.6666666666265,0.9439265
3587.499999999959,0.771749
3624.9999999999577,0.5410413
3658.33333333329,0.59993136
3666.666666666623,0.67866653
3691.666666666622,0.7648527
3708.333333333288,0.6133401
3712.4999999999545,0.15228495
3716.666666666621,0.24062711
3737.4999999999536,0.47626793
3749.999999999953,0.7563662
3754.1666666666197,0.99593717
3799.9999999999513,0.46092227
3812.499999999951,0.67756516
3816.6666666666174,0.89740354
3841.6666666666165,0.38131708
3870.833333333282,0.47477135
3891.6666666666147,0.830069
3899.9999999999477,0.59527975
3912.4999999999472,0.7324979
3929.1666666666133,0.93045586
3937.4999999999463,1.3948624
3945.8333333332794,0.6079098
3949.999999999946,0.48034605
3954.1666666666124,0.6607682
3962.4999999999454,0.7322
3974.999999999945,0.7344284
3991.666666666611,1.0517994
4016.66666666661,0.987785
4049.9999999999422,0.26835302
4108.333333333275,0.4658653
4154.1666666666115,0.15065038
4158.3333333332785,0.93584317
4179.166666666613,1.0321096
4183.33333333328,0.88286346
4191.666666666614,0.7883356
4199.999999999948,0.18642999
4208.333333333282,0.3019794
4212.499999999949,0.15319242
4237.499999999951,0.15013808
4258.333333333286,0.6395642
4262.499999999953,0.5064799
4266.66666666662,0.57278335
4279.166666666621,0.7004426
4287.4999999999545,0.14754796
4299.999999999955,0.8824978
4337.499999999958,0.16361071
4354.166666666626,0.4651385
4358.333333333293,0.9864839
4374.999999999961,0.67040586
4383.333333333295,0.73032427
4408.333333333297,0.46892154
4420.833333333298,0.3383299
4424.9999999999645,0.6623491
4474.999999999968,0.35907584
4504.166666666637,1.0321469
4516.666666666638,0.71626
4533.333333333306,0.24645707
4566.6666666666415,0.3632122
4574.999999999975,0.63703966
4599.999999999977,0.2981609
4604.166666666644,0.7017395
4633.333333333313,0.9115059
4658.333333333315,0.70548606
4695.833333333318,0.6914192
4699.9999999999845,0.8184156
4733.33333333332,0.7083442
4749.999999999988,1.027893
4774.99999999999,0.91231126
4783.333333333324,0.22003338
4795.833333333325,0.8599411
4804.166666666659,0.91692376
4849.999999999995,0.6388343
4899.999999999999,1.0155865
4904.166666666666,1.0618641
4908.333333333333,0.56003445
4958.333333333337,1.0365877
4983.3333333333385,0.98590064
4987.5000000000055,0.9939447
4995.833333333339,0.39842948
5000.000000000006,0.7851647
5037.500000000009,0.60252374
5041.666666666676,0.20755984
5045.833333333343,0.14259352
5066.666666666678,0.9592765
5075.000000000012,1.2627453
5091.66666666668,1.0868552
5095.833333333347,0.8794485
